0: linda davis                   reba mcentire
4546: robert mitchum                bobcat goldthwait
4547: carol kane                    bobcat goldthwait
4550: dothraki horselord khal drogo khal drogo
4552: one of the accusers           maid
4553: a maid for john proctor       maid
4554: harrison                      george harrison
4555: the persian style of architectureindian architecture
4556: alexa davalos                 judi bowker
4557: december 14, 1814             january 8, 1815
4558: radio                         bigger and deffer
4559: , domingo                     colman domingo
4560: santi pagnini                 editors
4561: the 1850s                     1850s
4562: kailash satyarthi and malala yousafzaimalala yousafzai
4564: 1978                          1986
4566: zinc                          sintered metal
4570: tisdale, paul                 arsène wenger
4571: 1868                          1872
4572: 911 / mr. lonely              911
4573: khan abdul ghaffar khan       politician c. rajagopalachari
4575: an unknown origin             the late 1930s
4576: scarlett johansson            seth macfarlane
4577: mike viola                    guy patterson
4578: avonlea on prince edward islandprince edward island
4580: laura san giacomo             sharon martin
4581: ronnie farer                  sharon martin
4584: samsung                       google tv
4585: post alley                    post alley under pike place market
4593: bajrang punia                 neeraj chopra
4594: park hye - soo                han seung - yeon
4595: manuel rosas                  lucien laurent
4596: february 9, 2016              august 25, 2017
4598: during blizzcon 2017          2017
4599: anna maxwell martin           sam neill
4600: may 1974                      18 may 1974
4601: may 1998                      18 may 1974
4602: the miami dolphins            denver broncos
4603: the new england patriots      denver broncos
4604: the denver broncos            denver broncos
4605: the dallas cowboys            denver broncos
4606: the san francisco 49ers       denver broncos
4607: the green bay packers         denver broncos
4608: the pittsburgh steelers       denver broncos
4609: william gilbert               alessandro antonio anastasio volta
4610: babe ruth                     sammy sosa
4611: andrew cedar                  kenny gamble
4612: dj frank e                    kenny gamble
4613: wiz khalifa                   kenny gamble
4614: charlie puth                  kenny gamble
4617: in the finale episode         the series finale
4618: the gulf of california        gulf of california
4619: the pacific ocean             gulf of california
4622: the 11th century              china
4623: lagaan                        treasure island
4624: most geological processes     combustion
4625: ravi shankar                  yehudi menuhin
4626: emory s. bogardus             louis leon thurstone
4627: traffic calming               traffic calming or aesthetics
4628: aesthetics                    traffic calming or aesthetics
4630: wang herun                    zhao wenlong
4631: li hongyi                     zhao wenlong
4633: bai jingting                  zhao wenlong
4634: ding guansen                  zhao wenlong
4635: guo shutong                   zhao wenlong
4636: oral mucosa                   mucous membrane epithelium
4639: 1998                          may 1996
4640: oracle arena in oakland       oracle arena
4641: two seasons                   two
4643: cuba                          las villas province
4645: the austro - hungarian empire germany
4646: january 7, 2018               april 17, 2018
4647: february 2017                 may 30, 2017
4648: january 11, 1970              1993
4650: sonarika bhadoria             suhasi dhami
4651: f\xc3\xa9lix hern\xc3\xa1ndez felix hernandez
4652: mrs diana trapes              polly
4653: jules o'dwyer & matisse       jules o'wyer & matisse
4654: colin and kyle schroeder      claire king
4656: parmenides of elea            democritus
4657: 5                             louwala - clough
4658: energy                        energy storage
4661: many commercial sites         airport
4662: early 2018                    june 28, 2017
4663: asuka                         roman reigns
4664: shinsuke nakamura             roman reigns
4665: mick taylor                   keith richards
4666: 12 april 1957                 1985
4669: december 1, 1912              minoru yamasaki
4670: 6 may 1972                    1973
4672: kopeks                        ruble
4674: indira gandhi                 sushma swaraj
4675: karl landsteiner              jan jansky
4676: sbb or sbc                    barred spiral
4677: eugene hugh beaumont          richard deacon
4679: 1970                          1972
4682: chanel cresswell              josh helman
4683: neal bledsoe                  danica mckellar
4685: matthew                       the apocalypse of john
4688: the arrows                    alan merrill
4689: joan jett & the blackhearts   alan merrill
4691: sonny's brother               sonny
4692: march 4, 2018                 april 15, 2018
4694: northern railway              north central railway zone
4695: severe thunderstorm           thunderstorm
4698: dispute with the railroads    1875
4699: tori spelling                 elizabeth berkley
4701: taran hourie killam           mel blanc
4704: ali daei                      ronaldo
4705: 1954                          june 14, 1954
4706: 1,160                         37
4707: 31                            seventeen
4708: john fitch                    thomas edison
4711: caroline kennedy              john f. kennedy
4712: kevin tighe                   ken miller
4713: the fourteenth amendment      incorporation
4714: 16 december 1689              29 january 1689
4715: late november or early decembermid november
4716: 1871                          may 27, 2016
4718: auli\xca\xbbi cravalho        auli'i cravalho
4719: prerna panwar                 erica fernandes
4720: frankie valli                 daryl hall
4721: hank aaron                    alex rodriguez
4724: a fox                         a desert flower
4725: republic of texas             mexican plateau
4726: lisa robin kelly              kate bosworth
4728: kane williamson               brendon mccullum
4729: camden county                 fictional camden county
4732: 2005                          january 2005
4733: april 8, 2024                 april 2024
4734: mendocino, california         macon, georgia
4735: michael vick                  emmitt smith
4737: american singer rockwell      tru
4738: beni cwiakala                 jasmine stewart
4739: waxahachie, texas             the family farm
4740: macos high sierra             imac pro
4741: the tifosi                    alfa romeo
4742: `` exhausted ''               january 9, 2018
4744: 1960s                         1958
4747: japan                         east asia
4748: 22.972 mi                     35 miles
4749: 2008                          2016
4750: anthony hopkins               boris karloff
4751: rita moreno as anita          maria
4752: japan                         britain
4753: germany                       britain
4754: british empire                britain
4755: france                        britain
4756: united states                 britain
4757: italy                         britain
4758: other allied powers           britain
4759: underground in louisiana and texaslouisiana
4760: matthew modine                matthew avery modine
4761: karnataka                     andhra pradesh
4762: strengths                     pneumonoultramicroscopicsilicovolcanoconiosis
4763: unidentified individual       an unidentified individual
4764: british singer steve rushton  steve rushton
4765: isabela moner                 shia labeouf
4766: laura haddock                 shia labeouf
4768: chris gayle                   muri kartik
4769: chip fields                   pam huntington
4770: 17.10 artful aardvark         ubuntu 18.10
4771: 256                           25
4773: february 28, 1909             1909
4775: the pussycat dolls            quavo
4777: carroll o'connor              jean stapleton
4779: 2005 -- 06                    2006
4780: 97                            22
4783: warner bros. television       the cw
4784: kiriath - jearim              mount nebo
4786: toronto                       toronto, ontario
4787: 30 august 2018                19 october 2018
4788: tyrion lannister              willas tyrell
4789: 1996                          june 2001
4790: billy barty                   jon cypher
4791: louis philippe i              napoleon bonaparte
4792: fantasy                       fantasy drama
4793: serial drama                  fantasy drama
4794: olympic peninsula             on the olympic peninsula
4795: egypt                         arabia
4797: sicily                        arabia
4798: france                        belgium
4799: german empire                 belgium
4800: british empire                belgium
4801: austria - hungary             belgium
4808: in return of the jedi         return of the jedi
4809: maulvi liaquat ali            ahmed nawaz khan
4813: color                         bolometric luminosity
4815: lot's wife                    sodom
4816: neptune                       jupiter
4817: indian grandmaster vishwanathan anandvishwanathan anand
4818: 1517                          during the italian renaissance
4819: ralph                         sam wood
4820: germany                       berlin, germany
4821: zachary gordon                george lopez
4822: on 29 july                    29 july
4823: 13                            forty - six
4826: tax                           economic inequality
4827: aram shah                     muhammad of ghor
4830: death valley                  mitribah, kuwait
4831: south dakota                  wyoming
4833: new mexico                    wyoming
4834: oklahoma                      wyoming
4835: texas                         wyoming
4836: kansas                        wyoming
4837: nebraska                      wyoming
4838: colorado                      wyoming
4839: jeff bhasker                  alex salibian
4840: tyler johnson                 alex salibian
4842: roderick george toombs        michael dunn
4843: swansea city                  stoke city
4844: west bromwich albion          stoke city
4847: a pedestrian                  ray
4848: judy jetson                   judy
4849: arts and crafts               alternating current / direct current
4852: henry edward bedford          joseph willard
4854: deficits in cognitive abilitiesinfection
4856: chicago stadium               portland trail blazers
4857: two                           four
4858: baelfire / neal cassidy       neal cassidy
4859: new york yankees              san diego padres
4860: yuzuru hanyu                  nathan chen
4861: adri\xc3\xa1n alonso          douglas fairbanks
4862: during the 5th century ad     the 5th century ad
4864: 7                             seven
4865: september 2018                march 2, 2017
4866: 207                           15
4867: equinox                       24 hours
4871: linda mcmahon                 linda marie mcmahon
4873: partition of india            3 june plan
4874: 2002                          season five
4875: albert pujols                 barry bonds
4878: october 17, 2016              october 13, 2017
4879: june 1947                     1 december 2011
4882: dog                           rabbit
4883: gross vehicle weight rating   maximum loaded weight
4884: mts india                     bt group
4885: corey burton                  christopher lee
4886: season 20                     the start of the second season
4887: early 1910s                   the 12th century
4892: december 1946 (               may 28, 2008
4893: more than 2,500 locations     approximately 200
4894: 1981                          1737
4895: myles garrett                 jordan morgan
4898: crusader rabbit               the flintstones
4900: 15 - yard line                the goal line
4903: 14                            12
4906: rococo - era france           18th - century france
4907: chris potter                  jason bateman
4908: jimmy matthews                mohammad yousuf
4909: lysander                      demetrius
4910: james franco                  ray bolger
4911: pel\xc3\xa9                   miroslav klose
4912: from 1854 until the mid-1890s the mid-1890s
4913: robert edward jager           desmond child
4914: ireland                       oklahoma
4915: len\xc3\xadn moreno           lenin moreno
4916: lurking variable              berkson's paradox
4917: robert de niro as noodles     tom berenger
4918: scott tiler as young noodles  tom berenger
4919: 2000                          1986
4922: waldseem\xc3\xbcller          leonardo da vinci
4923: after university              1887
4924: vernon george wells           eric schweig
4925: 8 february 1904               august 9, 1945
4926: martin cummins                lori loughlin
4927: silver halide                 chemically sensitized paper
4930: wave steepness                wave height
4932: curling                       figure skating
4934: 1995                          june 2007
4935: hannibal rising ( 2006 )      hannibal lecter
4936: red dragon ( 1981 )           hannibal lecter
4937: hannibal ( 1999 )             hannibal lecter
4938: will keith kellogg            dr. john harvey
4940: may 8, 2018                   april 24, 2018
4941: 0                             approximately 45,000
4943: lorraine crosby               dana patrick
4944: florida                       rural florida
4945: two electrons                 2
4946: philadelphia                  dallas / fort worth
4947: chicago -- o'hare             dallas / fort worth
4949: washington, dc -- national    dallas / fort worth
4950: phoenix -- sky harbor         dallas / fort worth
4951: los angeles                   dallas / fort worth
4952: new york -- laguardia         dallas / fort worth
4953: charlotte                     dallas / fort worth
4954: new york -- jfk               dallas / fort worth
4955: miami                         dallas / fort worth
4957: gina mckee                    cherry jones
4960: december 14, 1977             1977
4961: ira d. sankey                 ingraham
4962: june 28, 2018                 april 29, 2018
4964: `` nelson's sparrow ''        no way out
4966: epistasis                     blending inheritance
4967: napoleon                      jack butler yeats
4968: jacob joseph worton           joe mantegna
4969: adam robert                   joe mantegna
4970: gretchen mol                  debbie reynolds
4971: santa monica pier             metromedia square
4972: pilot                         `` the new me ''
4973: displayport                   usb 3.0
4975: tba                           20 march 2018
4977: tony goldwyn                  christian camargo
4979: hawthorne james               michael wright
4980: `` c\xc3\xa6dmon's hymn ''    chronicles
4982: near east                     egypt
4983: ancient greek                 egypt
4984: southwest asia                egypt
4985: middle east                   egypt
4986: charlie black                 ronnie scott
4987: chater                        ronnie scott
4989: mikhail bakunin               karl marx
4990: 1972                          1991
4991: 1987                          1991
4992: 1983                          1991
4994: 1982                          1991
4995: nancy kovack                  kate nelligan
4996: her childhood sweetheart, raoulraoul
4997: hector                        achilles
4998: jerry reed                    burt reynolds
4999: late september                april 1964
5000: september 1, 2010             2010
5002: tim paterson                  robert w. lafore
5004: india                         pakistan
5005: china                         pakistan
5006: miley cyrus                   eric church
5008: peter kumpalume               jean kalilani
5009: two                           650
5010: 1938                          1776
5011: 2005                          april 27, 2004
5013: higher middle latitudes       northern
5014: 1816                          1869
5015: october 13, 2017              may 26, 2017
5016: 2 : 3                         two by three
5018: italy                         brazil
5021: emery kelly                   kelly
5022: greece                        olympia
5023: mois\xc3\xa9s arias           chris diamantopoulos
5024: montana                       minnesota
5025: 0.3048                        0.3048 meters
5026: adizia benson                 erica pinkett
5027: the nitrogen cycle            air separation
5030: august 31, 1965               1964
5031: august 19, 1964               1964
5032: england                       united states
5033: james augustus hicky          william bolts
5034: between 1895 and 1918         early 20th century
5035: tropic of cancer              arctic circle
5036: tropic of capricorn           arctic circle
5038: antarctic circle              arctic circle
5039: equator                       arctic circle
5040: the u.s. team                 russia
5041: ozzy osbourne                 jimmy wood
5042: responding disproportionately to somethingover-reacting
5043: aquatic animal                amphibians
5044: prince                        christopher prince
5045: september 22, 2017            september 12, 2017
5046: 2006                          2018
5049: layperson                     lay brothers
5051: jessica falkholt              falkholt
5052: jonah                         james bartley
5053: 2013                          1928
5054: diatoms                       agents of denudation
5055: one                           29,675
5057: silas deane                   benjamin franklin
5058: matron of honor               maid of honor
5059: 1999 season                   january 30, 2000
5060: colony of virginia            plymouth
5061: 1976                          the 1960s
5062: author john green             john green
5066: sykes                         garmr
5067: maria darling ( uk )          portia de rossi
5068: loretta devine ( us )         portia de rossi
5070: 37,461                        34, 436
5071: tim                           molly
5072: kansas city chiefs            celtic supporters
5073: new england patriots          celtic supporters
5074: ryan stiles                   drew carey
5075: colin mochrie                 drew carey
5076: wayne brady                   drew carey
5078: $ 4,600,000,000               usd 4.6 billion
5081: the senate                    the president
5083: edward edgar lowery           ouimet
5086: carlton                       essendon
5088: november 7, 2017              may 19, 2017
5089: fritz pollard                 1920
5090: bobby marshall                1920
5093: sachin tendulkar              donald bradman
5095: noam kaniel                   barenaked ladies
5096: sachin tendulkar              donald bradman
5100: civil unrest                  after 90 days
5101: disaster                      after 90 days
5102: armed conflict                after 90 days
5103: simon napier - bell           vito pallavicini
5105: pino donaggio                 vito pallavicini
5106: vicki wickham                 vito pallavicini
5108: every year at easter          throughout easter season
5109: the tennis court oath         tennis court oath
5110: delaney bramlett              leon russell
5111: bonnie bramlett               leon russell
5113: in the breast tissue          under the skin
5114: intermuscular ( muscular system )under the skin
5115: in the tampa bay area         pinellas county, florida
5117: kyle chandler                 jesse plemons
5118: 13                            16
5119: john sykes                    david coverdale
5120: 1037 -- 1194                  1037
5122: january 6, 2018               june 16, 2017
5123: central mexico                mexico
5124: oceanfront boardwalk and promenadest. louis
5125: kareem abdul - jabbar         wilt chamberlain
5126: jim thome                     giancarlo stanton
5127: organ system                  support
5128: ( selena gomez )              selena gomez
5129: cynthia watros                kate walsh
5130: april 12, 2018                march 11, 2018
5133: gangetic dolphin              ganges river dolphin
5134: mark wahlberg                 john cena
5135: over 6 million                one million
5137: american singer diana ross    diana ross
5138: $122,160                      $1,000
5139: 25 december                   25 december -- 5 january
5140: anal scent glands             thiols
5141: glacial striations            parallel
5142: 50,000                        8, 445 wounded
5143: april 11, 2018                march 16, 2017
5144: mid-november                  late august
5145: on independence day           independence day
5148: jacob collins - levy          michael marcus
5149: west                          nessa
5153: dilip babasaheb bhosale       justice govind mathur
5155: jinkx monsoon                 alaska
5156: paul martin newby             samuel alito
5157: barbara jackson               samuel alito
5158: cheri beasley                 samuel alito
5159: mark martin                   samuel alito
5160: robin e. hudson               samuel alito
5161: sam j. ervin, iv              samuel alito
5162: michael r. morgan             samuel alito
5163: 2017 -- 18                    2008
5166: europe                        north america
5167: 370                           100
5168: nigerian institute of managementlagos business school
5169: april 2                       april 2, 2018
5170: 256 bc                        the early zhou period
5171: 8500                          the early zhou period
5173: chris martin                  david bowie
5174: deb                           tomaszewski
5176: james earl jones              charles prowse
5177: patterning the ventral axis   sensory information
5179: atlantic ocean                rio mantaro
5181: bobby braddock                curly putman
5182: on october 31, 2018           october 31, 2018
5183: esther cleveland              florence harding
5184: gardens of stone              the godfather
5185: april 2017                    september 2013
5186: 133 episodes                  87
5187: turnberry                     royal aberdeen golf club
5188: muirfield                     royal aberdeen golf club
5189: old course at st andrews      royal aberdeen golf club
5190: musselburgh links             royal aberdeen golf club
5191: prestwick golf club           royal aberdeen golf club
5192: carnoustie golf links         royal aberdeen golf club
5193: royal troon golf club         royal aberdeen golf club
5194: 1748                          1787
5195: cesar estrada chavez          hardin bigelow
5196: 1 january 1942                1944
5197: 0                             28
5199: ross bagdasarian jr .         jesse mccartney
5200: ticket sales                  national lottery
5201: $40,000                       $2,500
5202: castaway on the moon          jiseul
5203: neha kakkar .                 arijit singh
5205: meet bros                     arijit singh
5207: alycia jasmin debnam - carey  alycia debnam - carey
5208: incumbent president jimmy carterronald reagan
5209: 11                            13
5210: mondel\xc4\x93z international british chocolate company
5211: mildred trotter               william smith
5213: ronald reagan washington national airportwashington -- reagan
5216: august 14, 1935               1935
5218: bad moon rising               highway of tears
5220: anupallavi                    raga
5221: pallavi                       raga
5222: charana                       raga
5223: 5 july 1945                   2 september 1945
5224: documentary crew              andy
5227: over 15 million combined subscribers15 million combined subscribers
5228: new england patriots          philadelphia eagles
5230: 10 november 1775              november 1775
5231: nick offerman                 ryan carnes
5232: peng chun chang               john peters humphrey
5233: eleanor roosevelt             john peters humphrey
5234: william roy hodgson           john peters humphrey
5235: ren\xc3\xa9 cassin            john peters humphrey
5236: charles dukes / lord dukeston john peters humphrey
5237: hern\xc3\xa1n santa cruz      john peters humphrey
5238: alexander e. bogomolov        john peters humphrey
5240: charles habib malik           john peters humphrey
5241: luke danes                    dean
5242: between june and october      summer months
5243: improved textures and multiplayer optionsa 3d game
5244: indra                         parjanya
5245: anjelica huston               carolyn sue jones
5246: daryl hannah                  carolyn sue jones
5247: afrikaans                     dutch
5248: confederacy                   confederate
5249: john ross                     chris johnson
5250: vancouver, washington         vancouver
5251: d minor                       e major
5252: 6                             13
5255: 1975                          1944
5256: march 2, 2018                 may 18, 2018
5257: tax revenues                  department of defense
5258: saline water                  saltwater
5259: alan burgess                  malcolm arnold
5260: 1862                          march 1862
5262: surrey, united kingdom        surrey, england
5263: kingdom of atlantica          an underwater kingdom
5264: louisiana                     oklahoma
5265: north dakota                  oklahoma
5266: utah                          oklahoma
5267: north carolina                oklahoma
5268: ohio                          oklahoma
5270: michigan                      oklahoma
5271: idaho                         oklahoma
5272: kansas                        oklahoma
5273: early 1990                    february 19, 1927
5275: 120 v                         230 v
5276: brainard                      cam brainard
5278: unicode consortium            standards organizations
5279: elizabeth boutell             antony
5280: 15 june 2018                  january 12, 2018
5281: parliamentary representative democratic constitutional monarchyrepresentative democracy
5282: ss yongala                    rms titanic
5283: barry bonds                   jimmie foxx
5287: sixty miles                   15 miles
5288: the foot                      in the body
5290: junrey balawing               zarniwoop
5291: the army                      japanese military
5292: jimmy smith                   eddie van halen
5293: 1974                          2006
5295: charles strouse               martin charnin
5296: regions                       ruotsi
5297: medieval states               ruotsi
5298: people                        ruotsi
5299: susan thornton                daniel r. russel
5302: m\xc3\xadriam col\xc3\xb3n    al pacino
5303: 5 october 2018                27 september 2018
5304: rko studios in hollywood      hollywood
5306: 1954 -- 1968                  the mid-1960s
5307: thor : ragnarok               iron man 3
5308: 2013                          1993
5309: welsh                         the tamil word
5310: irish                         the tamil word
5311: german                        the tamil word
5312: english                       the tamil word
5313: department of justice         george tenet
5316: lewis hamilton                valtteri bottas
5319: 20 july 1969                  13 september 1959
5320: 1234                          approximately 1436
5321: 20                            13
5322: italian                       ottoman empire
5323: nicholle tom                  danielle campbell
5324: sir ian murray mckellen       sir ian mckellen
5325: james garner                  richard attenborough
5327: steve mcqueen                 richard attenborough
5328: 11 november 1918              france
5329: 28 july 1914                  france
5330: south korea                   soviet union
5331: calgary, alberta, canada      calgary
5332: dancing                       vishnu
5333: the wailers                   bob marley
5334: 1993                          july 16, 1993
5335: january 25, 2018              september 20, 2017
5339: we                            thursday
5340: 1969                          23 january 2008
5341: africa                        south america
5342: southeast asia                south america
5343: south and middle america      south america
5344: dylan klebold                 eric harris
5346: line of longitude             international date line
5347: ( geographical ) meridian     international date line
5348: may 29, 1982                  1982
5351: washington, d.c.              denver
5352: 2018                          2017
5355: nick gilder                   holly knight
5357: dr. caroline aranha           freida pinto
5358: 402,                          402
5359: ladies                        james blake
5360: princess winnifred            james blake
5361: knights                       james blake
5363: the ritz - carlton            luxury hotel chain
5364: the los angeles lakers        los angeles lakers
5365: sovereignty                   absolute monarchy
5367: peter capaldi                 martyn lewis
5369: subaru impreza wrx sti        ford focus wrc
5370: ford fiesta st                ford focus wrc
5373: ontario                       jacksons point
5374: stouffville, ontario          jacksons point
5375: westfield heritage village    jacksons point
5376: prince edward island          jacksons point
5377: hamilton, ontario             jacksons point
5378: barry bonds                   mark mcgwire
5379: pisa                          behind the pisa cathedral
5380: nuclear                       nuclear family
5381: judicial                      legislative
5382: the point when trading ceases 9 am
5383: 8                             10
5384: february 28, 2018             2019
5385: highly energetic solar radiationozone
5386: primary                       agriculture
5387: tertiary                      agriculture
5388: secondary                     agriculture
5389: kenya                         buckingham palace
5390: tim curry                     timothy james curry
5393: middle of delaware river      the delaware river
5394: 15 miles                      35 miles
5395: central hall in westminster   miami beach
5396: northern territory and western australianorthern territory
5398: boston                        boston, massachusetts
5401: william r. day                patrick henry
5402: 2018                          1938
5405: ratify                        presidential approval
5407: hampshire                     pinewood studios
5408: sets at hawley common         pinewood studios
5411: olaf                          count olaf
5412: kit                           count olaf
5413: the everly brothers           everly brothers
5414: 1896                          april 19, 1894
5415: 27 june 1967                  1972
5416: traded                        seafaring traders
5417: raided                        seafaring traders
5418: norse seafarers               seafaring traders
5419: mole                          raccoon
5420: h. jon benjamin               harry jon benjamin
5421: sadashiv nayak                future group
5424: howard ellsworth rollins jr . howard ellsworth rollins
5428: january 20, 2017              january 1, 2018
5430: hoagy carmichael              sidney arodin
5431: small - world experiment      ralph rapson
5432: the house of delegates        house of delegates
5434: 2006                          2018
5436: heidi klum                    howie mandel
5437: mel b                         howie mandel
5438: simon cowell                  howie mandel
5439: vancouver, british columbia   oahu, hawaii
5440: restoration                   proprietary
5441: android 7. 0 lollipop         android 4.3
5443: 1914                          1915
5444: queen elizabeth ii            archbishop of canterbury
5447: hathi jr .                    hathi
5448: penn state nittany lions      penn state
5449: adult, male citizen           all eligible citizens
5450: 34                            2
5451: convict insurgents            convicts
5452: british army                  convicts
5453: bert millichip                mike naylor
5454: convection                    magma
5455: 4,228                         1088
5457: f\xc3\xa4ltskog and ulvaeus   benny andersson
5458: lyngstad and andersson        benny andersson
5459: william dewolf hopper jr .    albert stratton
5460: joey dunlop                   john surtees
5461: valerie simpson               tammi terrell
5462: nickolas ashford              tammi terrell
5463: bob the drag queen            bob
5464: rat                           lewis hamilton
5465: secretariat                   good magic
5466: barry bonds                   babe ruth
5467: ludwig g\xc3\xb6ransson       ludwig goransson
5468: the ardennes forest           the siegfried line
5469: don black                     alan menken
5474: cristiano ronaldo             ronaldo
5475: the federal government        counties
5476: states                        counties
5478: ireland                       dublin, ireland
5482: marvin gaye and tammi terrell tammi terrell
5483: the alabama crimson tide      alabama crimson tide
5484: june 28, 2018                 april 5, 2018
5486: 1993                          1979
5487: 11                            john stockton
5489: darius mccrary                shemar moore
5491: united states                 vancouver, british columbia
5495: kathy bates                   karen westwood
5496: annie o'donnell               karen westwood
5497: mark jackson                  steve kerr
5499: idris elba                    kenneth biggins
5500: bangla road                   pattaya
5502: december 28, 1869             the late 19th century
5503: 1949                          the late 19th century
5504: october 10, 2001              october 3, 2001
5506: guillermo st\xc3\xa1bile      miroslav klose
5509: soviet                        the red army
5511: super bowl li                 february 5, 2017
5513: 10 september 1977             1983
5514: insects                       insect
5515: postural hypotension          hypotension
5516: orthostatic hypotension       hypotension
5519: august 3, 2018                october 13, 2018
5520: julianna mccarthy             juliana mccarthy
5524: four                          fourth
5525: 4                             third
5526: during the 1970s              early as 1951
5527: 152 minutes                   13 minutes
5529: 2018                          january 2015
5530: sylva, north carolina         black mountain, north carolina
5531: rockfield studios in wales    knebworth house
5534: in the mendip district        somerset
5535: liv hewson                    skyler gisondo
5536: 2017                          2013
5539: granada                       torreon
5540: jackie robinson               william edward white
5541: petr \xc4\x8cech              petr cech
5542: june                          december to february
5543: august                        december to february
5544: july                          december to february
5547: chandra bahadur dangi         gul mohammed
5551: february 1, 2018              march 7, 2018
5552: john ratzenberger as the underminerelastigirl
5554: john shea                     matthew settle
5556: the league runners - up       jackie wilkins
5557: 2005                          2017
5558: nick kroll                    mark levin
5560: lincoln                       abraham lincoln
5561: chetan sharma                 ajit agarkar
5564: kareem abdul - jabbar         wilt chamberlain
5565: jonny's imagination           bill markham
5567: 1995 -- 1998                  1994
5568: 3,492                         3,861
5569: bust / waist / hip            waist
5571: magical land of oz            munchkinland
5573: 1937                          july 1921
5575: madras                        madras vs calcutta
5576: bombay                        madras vs calcutta
5577: calcutta                      madras vs calcutta
5578: barry allen                   wally west
5579: persian sufi poets            english poet edward fitzgerald
5580: india                         walt disney studios
5582: b.r. ambedkar                 sachchidananda sinha
5584: 2019                          late fall 2019
5585: justin timberlake             fergie
5586: the black eyed peas           fergie
5587: bonnie hunt                   piper lisa perabo
5588: billy dee williams            mekhi phifer
5590: june 4, 2018                  june 18, 2018
5592: channel 70                    70
5593: jack greene                   dallas frazier
5594: an open - air museum          open - air museum
5595: freemium mobile strategy video gamemobile strategy
5596: jesus, take the wheel         `` leave this town ''
5597: new york                      southampton
5598: sri lanka                     thailand
5599: 7                             seven
5600: justice navniti prasad singh  hrishikesh roy
5602: lori mckenna                  hillary lindsey
5603: liz rose                      hillary lindsey
5608: sagittarius dwarf             lgs3
5609: large magellanic cloud        lgs3
5612: james rodr\xc3\xadguez        james rodriguez
5613: 2017 -- 18                    2018
5614: 1823                          11 august 1823
5615: in the horn of africa         horn of africa
5616: the late 18th century         17 march
5617: the fifth season finale       season eight
5618: 2022                          qatar
5619: oldham general hospital, oldhamoldham general hospital
5620: rosh hashanah ( trumpets )    rosh hashanah
5621: shavuot ; ( pentecost )       rosh hashanah
5622: jellyfish                     algae
5624: james deb                     robert owen
5626: mexico                        julio cesar
5627: south africa                  shane warne
5629: 6 - 12 people                 usually 12
5630: hotspot                       magmatism
5631: western saloon                honky - tonks
5632: 260                           alan shearer
5633: american swimmer michael phelpsmichael phelps
5634: february 1973                 1972
5635: winfield scott                zachary taylor
5637: 1921                          approximately 1600 bc
5639: yamato dynasty                jimmu
5641: piper eressea kerman          piper kerman
5642: saint patrick                 james patrick collins
5643: mother abbess                 margery mackay
5645: house of representatives      senate
5646: season three                  season six
5647: rachel green                  monica
5648: ross geller                   monica
5650: kim kardashian                rob paulsen
5652: jim cummings                  stephen merchant
5653: thomas alva edison            thomas edison
5654: edward viii                   edward
5659: covalent                      triple bond
5660: delicata                      emily mackay
5662: jim carrey                    benedict cumberbatch
5663: josh ryan evans               benedict cumberbatch
5666: a 30 - day period             30 days
5667: large                         4.2 m
5668: jonathan goldstein            jerry trainor
5669: john lyly's                   euphues
5670: the killers                   flowers
5672: dash                          r
5673: tony ( abdul salis )          kristopher marshall
5674: july 2, 1964                  march 30, 1964
5677: 3 june 1787                   13 may 1787
5678: denver, colorado              denver
5679: western australia             south australia
5681: queensland                    south australia
5682: new south wales               south australia
5683: victoria                      south australia
5684: tasmania                      south australia
5685: 2011 -- 12                    2017 -- 18
5688: \xc3\x81lvaro morata          bojan krkic
5689: fernando torres               bojan krkic
5690: diego costa                   bojan krkic
5691: santi cazorla                 bojan krkic
5692: jordi g\xc3\xb3mez            bojan krkic
5693: bertha von suttner            marie curie
5694: november 2018                 november 10, 2017
5695: juhu                          upmarket neighbourhood
5696: sadie hawkins dance           snowball dance
5698: northern flicker              killdeer
5699: 1982                          february 7, 2007
5700: rex smith                     berlin
5701: alpha epsilon alpha           phi kappa
5702: general issue                 galvanized iron
5703: government issue              galvanized iron
5704: chris `` ludacris '' bridges  ryan carnes
5705: commerce raiders              blockade each other
5706: unrestricted submarine warfareblockade each other
5707: american singer sam hunt      sam hunt
5708: august 2, 1956                4 february 2012
5709: johnson, calvin               jacob turner
5710: charmed                       charmed again
5711: los alamos laboratory         the united states army air forces
5712: 6                             13
5713: praful khoda patel            jayantibhai desai
5714: john cornyn ( r )             dick durbin
5715: dick durbin ( d )             dick durbin
5718: lungs                         pulmonary artery
5719: stone                         emma stone
5721: 545                           552
5723: mighty morphin power rangers  super sentai
5724: middle                        the underclass
5725: jinder mahal                  braun strowman
5726: king crimson                  toyah willcox
5727: 2014                          2002
5728: krishna sobti                 ashapoorna devi
5729: jessie ware                   christine mcvie
5731: frankie laine                 mike stewart
5734: martini cocktails             a whole lime
5735: 1879                          1854
5736: april 22, 2018                march 27, 2018
5737: 2017                          1980
5738: angus turner jones            angus turner
5739: tobacco                       comstock
5741: charlie ward jr.              karl malone
5742: twin                          father's name
5743: john jameson                  ursula's father
5744: the moat                      the moat of london, england
5745: ohio state buckeyes           michigan wolverines
5746: ireland                       counties galway
5747: superblue                     machel montano
5748: elected by direct popular votedirect election
